id,name,parent_id/id,property_valuation,property_cost_method,property_account_income_categ_id/id,property_account_expense_categ_id/id,parent_id/id,removal_strategy_id/id
product.categ_products_drug_orders,Drugs,,Manual,Standard Price,init.1_conf_a_sale,init.1_conf_cog,,product_expiry.removal_fefo
product.categ_products_essential_drugs_orders,Essential Drugs,,Manual,Standard Price,init.1_conf_a_sale,init.1_conf_cog,product.categ_products_drug_orders,product_expiry.removal_fefo
