Uuid,Void/Retire,Name,Description,_version:1
e4f9bb8e-8ac5-405f-9baf-21dc8de28a73,,N/A,"Visit type used to be assigned to legacy visits, imported from the historical database",
e4f9bb8e-8ac5-405f-9baf-21dc8de28a73,True,,,
