id,name,categ_id/id,type,uom_id/id,uom_po_id/id,invoice_policy
init.8a20efef-3f45-4bbc-bcd9-f44e38b2bf98,Suture-chromic 5,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.49d967e2-b5c0-44c3-8ff2-58d71c1ef0c8,Suture-chromic 6,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.bf8a49c8-f958-4747-9133-db123c8c96e9,Suture-prolene 1,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.56691f2d-0f8d-4edd-9fbc-44aa1ea4eb74,Suture-prolene 2,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.148b59d6-a697-40b6-ac26-be4b609a6603,Suture-prolene 3,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.94cbd20e-b1d8-468e-bf0b-595e1debf313,Suture-prolene 4,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.4fa1c63a-ef3a-4329-a8d1-8757190c14da,Suture-prolene 5,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.4a48f61d-9991-4e14-98a1-e8239599dd23,Suture-prolene 6,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.6050134f-0170-4f86-b544-a3a8f301e3c4,Serum de Rehydratation,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.121cd1dc-a26f-49fa-b30a-868551e16ee0,Injection externe,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
